model,bench,variant,k,sample_method,tp,tag,num_steps,mean_step_wall_s,mean_output_tok_s,mean_output_tok_s_per_gpu,partial
Qwen3-30B-A3B,dapo,dynamic,5,greedy,1,qwen3_30ba3b_dapo_rollout_dynamic_20260712b,4,31.68041196752165,16550.13244703082,16550.13244703082,False
Qwen3-30B-A3B,dapo,fixed_k3,3,greedy,1,qwen3_30ba3b_dapo_rollout_fixed_k3_20260712b,4,29.10169926423987,18017.393961204616,18017.393961204616,False
Qwen3-30B-A3B,math500,baseline,0,-,1,qwen3_30ba3b_math500_rollout_baseline_20260712,4,48.18865037988871,8299.549819218208,8299.549819218208,False
Qwen3-30B-A3B,math500,dynamic,5,greedy,1,qwen3_30ba3b_math500_rollout_dynamic_20260712b,4,25.742226896749344,15653.633377252472,15653.633377252472,False
Qwen3-30B-A3B,math500,fixed_k3,3,greedy,1,qwen3_30ba3b_math500_rollout_fixed_k3_20260712,4,24.147056825007894,16589.719255000942,16589.719255000942,False
Qwen3-30B-A3B,openmath,baseline,0,-,1,qwen3_30ba3b_openmath_rollout_baseline_20260712,4,50.89499117474975,8624.982480179373,8624.982480179373,False
Qwen3-30B-A3B,openmath,dynamic,5,greedy,1,qwen3_30ba3b_openmath_rollout_dynamic_20260712b,4,26.829582958991523,16455.959439984978,16455.959439984978,False
Qwen3-30B-A3B,openmath,fixed_k3,3,greedy,1,qwen3_30ba3b_openmath_rollout_fixed_k3_20260712,4,25.395248613203876,17323.94338871132,17323.94338871132,False
Qwen3-30B-A3B,swe_verified,baseline,0,-,1,qwen3_30ba3b_swe_verified_rollout_baseline_20260712,4,42.525885910959914,6441.593844280947,6441.593844280947,False
Qwen3-30B-A3B,swe_verified,dynamic,5,greedy,1,qwen3_30ba3b_swe_verified_rollout_dynamic_20260712,4,25.29948102074559,10442.875440509819,10442.875440509819,False
Qwen3-30B-A3B,swe_verified,fixed_k3,3,greedy,1,qwen3_30ba3b_swe_verified_rollout_fixed_k3_20260712,4,22.99934398500045,11490.316823677616,11490.316823677616,False
Qwen3-32B,dapo,baseline,0,-,2,qwen3_32b_dapo_rollout_baseline_20260712c,4,85.11777297622757,12294.476320601589,6147.238160300794,False
Qwen3-32B,dapo,dynamic,5,greedy,2,qwen3_32b_dapo_rollout_dynamic_20260712,4,80.64489152449823,12986.178201738681,6493.089100869341,False
Qwen3-32B,dapo,fixed_k3,3,greedy,2,qwen3_32b_dapo_rollout_fixed_k3_20260712,4,73.51256194600137,14225.23091659381,7112.615458296905,False
Qwen3-32B,math500,baseline,0,-,2,qwen3_32b_math500_rollout_baseline_20260712,4,67.80187591574213,11619.520142175246,5809.760071087623,False
Qwen3-32B,math500,dynamic,5,greedy,2,qwen3_32b_math500_rollout_dynamic_20260712,4,58.45930157175462,13495.329552946332,6747.664776473166,False
Qwen3-32B,math500,fixed_k3,3,greedy,2,qwen3_32b_math500_rollout_fixed_k3_20260712c,4,60.05583262097207,13144.789661500383,6572.394830750191,False
Qwen3-32B,openmath,baseline,0,-,2,qwen3_32b_openmath_rollout_baseline_20260712,4,69.22633576199769,11482.250023483291,5741.125011741646,False
Qwen3-32B,openmath,dynamic,5,greedy,2,qwen3_32b_openmath_rollout_dynamic_20260712,4,62.740346215010504,12719.992660069987,6359.996330034994,False
Qwen3-32B,openmath,fixed_k3,3,greedy,2,qwen3_32b_openmath_rollout_fixed_k3_20260712,4,62.03697594429832,12813.335543454737,6406.667771727369,False
Qwen3-32B,swe_verified,baseline,0,-,2,qwen3_32b_swe_verified_rollout_baseline_20260712,4,64.54721289724944,9736.390778958379,4868.1953894791895,False
Qwen3-32B,swe_verified,dynamic,5,greedy,2,qwen3_32b_swe_verified_rollout_dynamic_20260712,4,60.00268610374769,10391.788491386222,5195.894245693111,False
Qwen3-32B,swe_verified,fixed_k3,3,greedy,2,qwen3_32b_swe_verified_rollout_fixed_k3_20260712,4,67.4027711724998,9123.651180623085,4561.825590311542,False
