area,shape,method,k,speedup,acceptance_pct,mean_acceptance_length,acceptance_only_ideal_factor,realized_fraction_of_acceptance_only_ideal,unrealized_fraction,notes
vLLM standalone,short ISL1000 OSL512 bs32,public PARD,12,3.290464765637635,92.95058139534885,12.154069767441861,12.154069767441861,0.27072946170278556,0.7292705382972144,High acceptance and high mean length; useful sanity proof.
vLLM standalone,short ISL1000 OSL512 bs32,public PARD,5,1.7066219350360143,95.50561797752809,5.775280898876405,5.775280898876405,0.29550457630001026,0.7044954236999897,High acceptance but smaller K limits total batching factor.
vLLM standalone,OpenMath ISL1024 OSL1024 bs32,public PARD,5,1.3130924408130435,45.51083591331269,3.2755417956656347,3.2755417956656347,0.4008779379797855,0.5991220620202145,Domain mismatch lowers acceptance and mean length.
vLLM standalone,OpenMath ISL1024 OSL1024 bs32,public PARD,12,1.2202543075328471,22.838731751824817,3.740647810218978,3.740647810218978,0.3262147011539729,0.6737852988460271,Larger K increases overhead and deeper-position rejection.
vLLM standalone,long ISL10000 OSL1000 bs32,public PARD,5,0.3924835123754514,13.675672828777586,1.6837836414388794,1.6837836414388794,0.23309616670230515,0.7669038332976948,Long context turns PARD into a slowdown despite nonzero acceptance.
vLLM standalone,long ISL10000 OSL1000 bs32,public PARD,12,0.5531441831157581,13.415159345391903,2.6098191214470283,2.6098191214470283,0.21194732560970136,0.7880526743902987,Large K partly recovers batching but still below baseline.
vLLM standalone,decode-heavy 10k bs32,K1,1,0.823,93.59,1.9359148112294289,1.9359148112294289,0.4251220122012201,0.57487798779878,High K1 acceptance still loses because one draft token cannot amortize long-context verify/draft overhead.
NeMo-RL sync generation,1n4g fixed256 batch32,dynamic D-PACE,1,1.250467373002149,76.4185544768069,1.764185544768069,1.764185544768069,0.7088071754757198,0.2911928245242802,K1 is positive in sync generation but slower than K2/K3.
NeMo-RL sync generation,1n4g fixed256 batch32,dynamic D-PACE,3,1.4537546664069743,57.502216312056746,2.7250664893617023,2.7250664893617023,0.5334749343115992,0.4665250656884008,Best current sync generation systems tradeoff.
NeMo-RL sync generation,1n4g fixed256 batch32,public PARD,5,1.5215585706388388,42.290481607887756,3.1145240803943874,3.1145240803943874,0.488536460583784,0.5114635394162159,Best public sync smoke result; generation-only evidence.
NeMo-RL worker32 generation-only,32n4g fixed256 req/engine32,local CAT/TPP-mask,5,1.7177711325422995,53.53322891027076,3.676661445513538,3.676661445513538,0.46720949372110865,0.5327905062788914,Generation segment only; not Full-GRPO E2E.
