job_id,cluster,state,model,mode,method,k,max_steps,max_new_tokens,temperature,top_p,enforce_eager,max_num_seqs,max_num_batched_tokens,attention_backend,moe_backend,draft_tensor_parallel_size,num_nodes,gpus_per_node,segment,gres_flag,account,partition,config,target_model,draft_model,remote_repo,repo_head,container,run_root,wandb_project,wandb_name,wandb_url,notes
2260320,lyris,FAILED_RAY_BOOTSTRAP_HOME_UNMOUNTED,Qwen3-32B,sync,eagle3,5,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k5_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k5_strict_matched_cudagraph_step20_20260702,,Failed before Ray startup because SLURM_SUBMIT_DIR was /home/sna while ray.sub disables the home mount. The container could not see bootstrap files and passed an empty Ray resources JSON.
2260321,lyris,FAILED_RAY_BOOTSTRAP_HOME_UNMOUNTED,Qwen3-32B,sync,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k7_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k7_strict_matched_cudagraph_step20_20260702,,Same pre-Ray bootstrap failure as 2260320: the no-home-mount launcher could not see files created under /home/sna.
2260322,lyris,FAILED_RAY_BOOTSTRAP_HOME_UNMOUNTED,Qwen3-32B,sync,eagle3,9,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k9_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k9_strict_matched_cudagraph_step20_20260702,,Same pre-Ray bootstrap failure as 2260320: the no-home-mount launcher could not see files created under /home/sna.
2260425,lyris,FAILED_CONFIG_STRING_QUOTING,Qwen3-32B,sync,eagle3,5,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k5_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k5_strict_matched_cudagraph_step20_20260702,,Lustre bootstrap path worked and Ray started. The command reconstructed from xtrace lost Hydra string quoting for CUDA_DEVICE_MAX_CONNECTIONS and failed Pydantic validation before actors were created.
2260428,lyris,FAILED_CONFIG_STRING_QUOTING,Qwen3-32B,sync,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k7_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k7_strict_matched_cudagraph_step20_20260702,,Same reconstructed-command string-typing failure as 2260425.
2260429,lyris,CANCELLED_BEFORE_DUPLICATE_FAILURE,Qwen3-32B,sync,eagle3,9,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k9_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k9_strict_matched_cudagraph_step20_20260702,,Cancelled immediately after the K5 and K7 retries exposed the common Hydra string-typing issue.
2260441,lyris,TIMEOUT_PARTIAL_STEP14,Qwen3-32B,sync,eagle3,5,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k5_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k5_strict_matched_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/plypepot,Reached Step 14 before the two-hour walltime. Final partial Steps 2-14 telemetry is preserved; the five-hour replacement is queued.
2260481,lyris,TIMEOUT_PARTIAL_STEP13,Qwen3-32B,sync,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k7_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k7_strict_matched_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/j8cpyjon,Reached Step 13 before the two-hour walltime. Final partial Steps 2-13 telemetry is preserved; the five-hour replacement is queued.
2260482,lyris,TIMEOUT_PARTIAL_STEP11,Qwen3-32B,sync,eagle3,9,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k9_strict_matched_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k9_strict_matched_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/r5mxw3oy,Reached Step 11 before the two-hour walltime. Final partial Steps 2-11 telemetry is preserved; the five-hour replacement is queued.
2260834,lyris,TEST_ONLY_5H_R2,Qwen3-32B,sync,eagle3,5,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,triton,1,4,4,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-4n4g.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_sync_eagle3k5_strict_matched_step20_5h_r2,sna-nemorl-specdec-lyris,qwen32_perfcfg_sync_eagle3k5_strict_matched_cudagraph_step20_5h_r2_20260702,,"Scheduler preflight passed with a five-hour walltime. This r2 preserves the exact r1 command and changes only isolated paths, W&B name, and walltime."
