job_id,cluster,model,mode,method,k,max_steps,max_new_tokens,temperature,top_p,enforce_eager,max_num_seqs,max_num_batched_tokens,attention_backend,num_nodes,gpus_per_node,slurm_segment,config_segment_size,gres_flag,account,partition,config,target_model,draft_model,remote_repo,repo_head,container,run_root,wandb_project,wandb_name,wandb_url,state,notes
2259757,lyris,Qwen3-32B,async-1off,baseline,0,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_baseline_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_baseline_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,,TEST_ONLY,"Scheduler preflight accepted the exact async performance recipe with CUDA Graph enabled, explicit TRITON_ATTN, Triton MoE, max_num_seqs=64, max_num_batched_tokens=32768, SLURM segment 8, and cluster.segment_size=4."
2259758,lyris,Qwen3-32B,async-1off,baseline,0,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_baseline_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_baseline_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/dw3xxfal,CANCELLED_DATASET_CACHE_LOCAL,"Topology and CUDA Graph setup passed, but AsyncTrajectoryCollector failed before Step 1 because the serialized Dataset referenced driver-local /tmp/sna/20260702_qwen32_sync_baseline_o64/xdg/huggingface/datasets. Cancelled after the fatal FileNotFoundError; retry must force shared HF_HOME and HF_DATASETS_CACHE into the driver command."
2259759,lyris,Qwen3-32B,async-1off,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k7_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k7_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,,TEST_ONLY,"Scheduler preflight accepted the matched Eagle K7 candidate. Offline RedHatAI Eagle-3 drafter, draft TP1, and all baseline methodology fields are identical to the strict cohort baseline."
2259760,lyris,Qwen3-32B,async-1off,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k7_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k7_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/sa1qrr24,CANCELLED_DATASET_CACHE_LOCAL,"Topology and CUDA Graph setup passed, but AsyncTrajectoryCollector hit the same driver-local Hugging Face Dataset Arrow FileNotFoundError before Step 1. Cancelled and scheduled for an otherwise matched shared-HF retry."
2259761,lyris,Qwen3-32B,async-1off,eagle3,9,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k9_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k9_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,,TEST_ONLY,"Scheduler preflight accepted the matched Eagle K9 candidate. Offline RedHatAI Eagle-3 drafter, draft TP1, and all baseline methodology fields are identical to the strict cohort baseline."
2259762,lyris,Qwen3-32B,async-1off,eagle3,9,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k9_eagerfalse_mnbt32768_maxseq64_segment4_step20_r1,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k9_mnbt32768_maxseq64_segment4_cudagraph_step20_20260702,https://wandb.ai/nvidia/sna-nemorl-specdec-lyris/runs/rx53fsjw,CANCELLED_DATASET_CACHE_LOCAL,"Topology and CUDA Graph setup passed, but AsyncTrajectoryCollector hit the same driver-local Hugging Face Dataset Arrow FileNotFoundError before Step 1. Cancelled and scheduled for an otherwise matched shared-HF retry."
2259819,lyris,Qwen3-32B,async-1off,baseline,0,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_baseline_sharedhf_step20_r2,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_baseline_sharedhf_cudagraph_step20_r2_20260702,,TEST_ONLY_SHARED_HF,"Scheduler preflight accepted the exact baseline retry with shared HF_HOME and HF_DATASETS_CACHE forced into the Python driver environment."
2259823,lyris,Qwen3-32B,async-1off,baseline,0,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_baseline_sharedhf_step20_r2,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_baseline_sharedhf_cudagraph_step20_r2_20260702,,PENDING_SHARED_HF,"Actual shared-HF baseline retry; predicted start 2026-07-02 07:10 PDT."
2259821,lyris,Qwen3-32B,async-1off,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k7_sharedhf_step20_r2,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k7_sharedhf_cudagraph_step20_r2_20260702,,TEST_ONLY_SHARED_HF,"Scheduler preflight accepted the exact Eagle K7 retry with shared HF_HOME and HF_DATASETS_CACHE forced into the Python driver environment."
2259822,lyris,Qwen3-32B,async-1off,eagle3,7,20,4096,1.0,1.0,false,64,32768,TRITON_ATTN,8,4,8,4,none,coreai_dlalgo_llm,gb200,examples/configs/recipes/llm/performance/grpo-qwen3-32b-8n4g-async-1off.yaml,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--Qwen--Qwen3-32B/snapshots/9216db5781bf21249d130ec9da846c4624c16137,/lustre/fsw/coreai_dlalgo_llm/users/sna/hf_home/hub/models--RedHatAI--Qwen3-32B-speculator.eagle3/snapshots/dc84fe7ff1db31efa824776f49c141fc8195eb47,/lustre/fsw/coreai_dlalgo_llm/users/sna/RL-specdec-cudagraph-780f483a-20260701,1271b1530181a7378e40de40b4b46ad223e6596c,/lustre/fsw/coreai_dlalgo_llm/users/sna/containers/nemo_rl_nightly.sqsh,/lustre/fsw/coreai_dlalgo_llm/users/sna/nemorl_reference_runs/20260702_lyris_qwen32_async1off_eagle3k7_sharedhf_step20_r2,sna-nemorl-specdec-lyris,qwen32_perfcfg_async1off_eagle3k7_sharedhf_cudagraph_step20_r2_20260702,,PENDING_SHARED_HF,"Actual shared-HF Eagle K7 retry; predicted start 2026-07-02 06:13 PDT."
