job_id,temperature,model_group,method,model,prompt_offset,prompt_count,isl,osl,batch_sizes,logs_dir,tracker_file,manifest,queue_state,acct_state,exit_code,queue_elapsed,acct_elapsed,reason,node,queue_nodes,queue_name,acct_name
2136598,0.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_20260616_swe_temp01_core_home_mount_qwen235b_baseline_bs1_qwen235b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen235b_t00_home_mount_qwen235b_baseline_bs1_20260616_jobs.txt,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_baseline_bs1_jobs.csv,,TIMEOUT,0:0,,05:00:30,,lyris0239,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_verified_osl32k_temp01
2136600,1.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs1_20260616_swe_temp01_core_home_mount_qwen235b_baseline_bs1_qwen235b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen235b_t10_home_mount_qwen235b_baseline_bs1_20260616_jobs.txt,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_baseline_bs1_jobs.csv,,TIMEOUT,0:0,,05:00:30,,lyris0167,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_verified_osl32k_temp01
2136599,0.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs2_20260616_swe_temp01_core_home_mount_qwen235b_baseline_bs2_qwen235b_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen235b_t00_home_mount_qwen235b_baseline_bs2_20260616_jobs.txt,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_baseline_bs2_jobs.csv,,COMPLETED,0:0,,03:18:24,,lyris0241,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_verified_osl32k_temp01
2136601,1.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,4,4096,32768,2,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n4_isl4096_osl32768_bs2_20260616_swe_temp01_core_home_mount_qwen235b_baseline_bs2_qwen235b_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_qwen235b_t10_home_mount_qwen235b_baseline_bs2_20260616_jobs.txt,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_baseline_bs2_jobs.csv,,COMPLETED,0:0,,03:19:45,,lyris0168,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_verified_osl32k_temp01
2138631,0.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n1_isl4096_osl32768_bs1_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,02:15:02,,lyris0238,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_bs1_n1
2138639,0.0,qwen235b,suffix,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n1_isl4096_osl32768_bs1_k32_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,00:29:22,,lyris0073,,,coreai_dlalgo_llm-specdec.suffix-qwen235b_swe_bs1_n1
2138633,0.0,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_eagle3_offset0_n1_isl4096_osl32768_bs1_k3_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t00,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,00:51:39,,lyris0244,,,coreai_dlalgo_llm-specdec.eagle3-qwen235b_swe_bs1_n1
2138634,1.0,qwen235b,baseline,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_baseline_offset0_n1_isl4096_osl32768_bs1_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,02:10:52,,lyris0245,,,coreai_dlalgo_llm-specdec.baseline-qwen235b_swe_bs1_n1
2138640,1.0,qwen235b,suffix,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_suffix_offset0_n1_isl4096_osl32768_bs1_k32_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,00:54:10,,lyris0084,,,coreai_dlalgo_llm-specdec.suffix-qwen235b_swe_bs1_n1
2138636,1.0,qwen235b,eagle3,Qwen/Qwen3-235B-A22B,0,1,4096,32768,1,/home/sna/vllm-runs/swe_temp01_core_20260616_home_retry/qwen235b_swe_verified_osl32k_temp01_eagle3_offset0_n1_isl4096_osl32768_bs1_k3_20260616_swe_temp01_core_home_mount_qwen235b_bs1_n1_t10,/Users/sna/Nemo-RL_Qwen3_Roadmap/latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,latest_lyris_swebench_osl32k_temp01_core_matrix_20260616_home_mount_qwen235b_bs1_n1_jobs.csv,,COMPLETED,0:0,,01:17:27,,lyris0250,,,coreai_dlalgo_llm-specdec.eagle3-qwen235b_swe_bs1_n1
