batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,147.52988132164458,6.778287835938812,,False
1,1,220.98761749265032,4.52514041893437,1.78,False
1,2,262.4722807100684,3.8099261274169294,2.3074324324324325,False
1,3,276.7102087151876,3.6138890742165586,2.6294871794871795,False
1,5,307.27634955024,3.2543995054084007,3.2946859903381642,True
2,0,261.42516036599284,7.650373044430836,,False
2,1,273.62462531254255,7.309283649874487,1.7795652173913044,False
2,2,353.39306946395027,5.659420551268113,2.3524684270952925,False
2,3,396.4091434526553,5.045292302241933,2.8249483115093037,True
2,5,394.89125947216036,5.064685409024605,3.2326498422712935,False
4,0,431.4242230822405,9.271616626953971,,False
4,1,585.0178772303929,6.837397891047203,1.7248209018120524,False
4,2,540.8746115895077,7.395429392119013,2.233033524121014,False
4,3,683.1301668966025,5.855399444840259,2.5991748651221833,True
4,5,605.426414900492,6.6069135762063524,3.1482904341144833,False
8,0,724.0586556803049,11.048828623536622,,False
8,1,965.8856892649812,8.282553607443788,1.7458946470462786,False
8,2,922.841603422841,8.668876620134824,2.273143650242887,False
8,3,1169.8633867515516,6.838405313473572,2.6571521245540057,True
8,5,228.26523082043693,35.046949424781815,3.1980892961590954,False
16,0,1160.6674146801222,13.785172046386407,,False
16,1,1572.0273062748583,10.177940253413453,1.7493990063571772,False
16,2,329.2329771144376,48.5978049350706,2.2826783723522857,False
16,3,1894.4995392320875,8.445502186020803,2.690311986863711,True
16,5,395.1073155780108,40.495327140661175,3.136937799043062,False
32,0,1960.1686559140821,16.325125852539202,,False
32,1,2727.5664109279232,11.732069977028914,1.7415580962509971,True
32,2,618.2494416692803,51.75904391211361,2.308681558734409,False
32,3,698.3925194350783,45.81950566407045,2.6808719479775878,False
32,5,698.1132712414613,45.83783365569616,3.1191246431969555,False
64,0,3419.2334191623345,18.717645786136217,,True
64,1,936.721059699052,68.32343453510248,1.7367158084530945,False
64,2,1185.3072163419386,53.994440527844745,2.2696411251212414,False
64,3,1314.9417426623172,48.671357767091195,2.6405035246727087,False
64,5,1329.9025800885188,48.123825728453085,3.087050681481133,False
