batch_size,k,output_tok_s,wall_ms_per_output_token,mean_acceptance_length,optimal
1,0,130.14041158165412,7.684008278801002,,False
1,1,191.89918468389865,5.211069560546733,1.5885093167701863,False
1,2,229.25522870488498,4.361950676759818,1.9635666347075742,False
1,3,238.6990115328829,4.1893763764591085,2.1180124223602483,False
1,5,247.85343234122988,4.034642532701582,2.325766174801362,True
2,0,253.66372415569373,7.884454139656327,,False
2,1,374.8925446396295,5.334862025390574,1.614353312302839,False
2,2,452.2191222909272,4.422634739256637,2.0475000000000003,False
2,3,467.2735983506122,4.2801476630813795,2.202041912950027,False
2,5,478.31362985167556,4.181356907224654,2.297812675266405,True
4,0,496.4461495131715,8.057268656273209,,False
4,1,738.3837880685979,5.417237031250188,1.6353105652087079,False
4,2,816.2658518300375,4.900364251465561,1.9600287218764958,False
4,3,884.9587027859699,4.519984929700627,2.158408012651555,False
4,5,934.005667823564,4.28262925782974,2.4126656848306336,True
8,0,979.8849848478442,8.164223478985377,,False
8,1,1452.6727110325157,5.5070904404295185,1.625694996028594,False
8,2,1672.6264222484685,4.782897061524238,2.0168802365697385,False
8,3,1762.054674825822,4.540154238284799,2.236996587030717,True
8,5,1636.2146151760528,4.889334153233449,2.4300548879988133,False
16,0,1888.2731210607974,8.473350502924859,,False
16,1,2514.226422737369,6.363786433594143,1.6132019704433498,False
16,2,2851.664710222692,5.610757794435983,1.9855142735923388,False
16,3,2999.984965474113,5.333360061513304,2.164674020741132,True
16,5,2779.881756272476,5.755640492225211,2.3558079355951698,False
32,0,3521.4899748415933,9.087062643544641,,False
32,1,4482.942310146545,7.138169038573672,1.606805524888987,False
32,2,5315.6413699900895,6.019969703121575,1.9669788664745438,True
32,3,5245.676703155999,6.100261569827126,2.172961501475611,False
32,5,4760.134970657644,6.7224984579752345,2.3392321963750535,False
64,0,6177.222239920198,10.360643913116974,,False
64,1,8188.683022450996,7.815664597656369,1.6127368304423297,True
64,2,7892.126005079576,8.109348477052691,1.9613237341156395,False
64,3,7989.775292810338,8.010237791992836,2.16080791426216,False
64,5,6600.763063637107,9.695848704609489,2.3327106129347923,False
128,0,10244.371519435894,12.494665949702721,,False
128,1,12153.295301173122,10.53212292041028,1.6084233791748526,True
128,2,10878.370546002176,11.766468099125404,1.951668516022371,False
128,3,9994.13351751551,12.80751350536491,2.1574238683127573,False
128,5,5905.170214698624,21.675920480902278,2.3295399020992686,False
256,0,14216.771269782479,18.006901506822715,,True
256,1,13095.453600742754,19.548769199218885,1.6116552038091956,False
256,2,9905.882197967829,25.84323080810691,1.9679312442271732,False
256,3,10252.558736063216,24.969376581040592,2.1627053203864275,False
256,5,8711.230013976268,29.3873539774836,2.337990931504773,False
